,200000_201500_train,200000_201500_val,200000_201500_test,200100_201600_train,200100_201600_val,200100_201600_test,200200_201700_train,200200_201700_val,200200_201700_test,200300_201800_train,200300_201800_val,200300_201800_test,200400_201900_train,200400_201900_val,200400_201900_test,200500_202000_train,200500_202000_val,200500_202000_test
columns,train,val,test,train,val,test,train,val,test,train,val,test,train,val,test,train,val,test
huber_loss,0.1513921320438385,0.11688852310180664,0.10105082392692566,0.14345881342887878,0.10001952201128006,0.1329003870487213,0.14480862021446228,0.1289512664079666,0.16986088454723358,0.14026840031147003,0.15736915171146393,0.14484524726867676,0.1390506625175476,0.1280064433813095,0.1548413336277008,0.14699935913085938,0.15713199973106384,0.11615997552871704
loss,0.36243191361427307,0.2912713885307312,0.26877450942993164,0.34835153818130493,0.26473525166511536,0.3279726505279541,0.3475269079208374,0.32084083557128906,0.36274081468582153,0.34083566069602966,0.34798526763916016,0.3358922004699707,0.32425811886787415,0.3137400448322296,0.3792036175727844,0.35073983669281006,0.38712817430496216,0.3029610216617584
mean_absolute_error,0.36243191361427307,0.2912713885307312,0.26877450942993164,0.34835153818130493,0.26473525166511536,0.3279726505279541,0.3475269079208374,0.32084083557128906,0.36274081468582153,0.34083566069602966,0.34798526763916016,0.3358922004699707,0.32425811886787415,0.3137400448322296,0.3792036175727844,0.35073983669281006,0.38712817430496216,0.3029610216617584
mean_absolute_percentage_error,5984037.5,6408425.0,6270781.0,5854583.0,6078014.0,5849252.5,2773131.25,86.58951568603516,98.24583435058594,9105.5556640625,86.12731170654297,91.67643737792969,2731386.5,2618269.75,3649359.25,11746837.0,10678988.0,10808188.0
mean_directional_accuracy,0.6426416635513306,0.6741854548454285,0.6456876397132874,0.6521464586257935,0.6503496766090393,0.5535714030265808,0.22850342094898224,0.2477678507566452,0.2731182873249054,0.2334739863872528,0.2752688229084015,0.25153374671936035,0.659005880355835,0.6605316996574402,0.695219099521637,0.4989842474460602,0.5657370686531067,0.4806034564971924
mean_squared_error,0.3622654378414154,0.2714502215385437,0.24767333269119263,0.3418808877468109,0.2452063411474228,0.30273109674453735,0.356381893157959,0.2924526333808899,0.4450109899044037,0.3335301876068115,0.3842712640762329,0.4493008255958557,0.33321553468704224,0.3101809322834015,0.3512285649776459,0.3518903851509094,0.35754096508026123,0.27551665902137756
mean_squared_logarithmic_error,0.0623520202934742,0.059949565678834915,0.03771692141890526,0.06289511919021606,0.03787943720817566,0.039670348167419434,0.07243987172842026,0.04405542090535164,0.07033540308475494,0.06456821411848068,0.06163475289940834,0.06752694398164749,0.050778359174728394,0.050105080008506775,0.07062254101037979,0.04900877922773361,0.06158079579472542,0.02895429916679859
time_step,200000_201500,200000_201500,200000_201500,200100_201600,200100_201600,200100_201600,200200_201700,200200_201700,200200_201700,200300_201800,200300_201800,200300_201800,200400_201900,200400_201900,200400_201900,200500_202000,200500_202000,200500_202000
true_direction_pos,0.5246396064758301,0.548872172832489,0.5244755148887634,0.526830792427063,0.5244755148887634,0.4620535671710968,0.5215709805488586,0.4620535671710968,0.5118279457092285,0.5071730017662048,0.5118279457092285,0.5010225176811218,0.5045430064201355,0.5010225176811218,0.5657370686531067,0.4989842474460602,0.5657370686531067,0.4806034564971924
