,200000_201500_train,200000_201500_val,200000_201500_test,200100_201600_train,200100_201600_val,200100_201600_test,200200_201700_train,200200_201700_val,200200_201700_test,200300_201800_train,200300_201800_val,200300_201800_test,200400_201900_train,200400_201900_val,200400_201900_test,200500_202000_train,200500_202000_val,200500_202000_test
columns,train,val,test,train,val,test,train,val,test,train,val,test,train,val,test,train,val,test
huber_loss,0.06969953328371048,0.0341123566031456,0.04193544387817383,0.06446149200201035,0.028748484328389168,0.08342768996953964,0.06526105850934982,0.0811929926276207,0.09684456139802933,0.061767302453517914,0.09220944344997406,0.0452842153608799,0.07108137011528015,0.04744735360145569,0.12003150582313538,0.06894088536500931,0.11856169253587723,0.09985288232564926
loss,0.1444549858570099,0.09389036893844604,0.09877359867095947,0.1371454894542694,0.08411072939634323,0.15068203210830688,0.13672587275505066,0.14934873580932617,0.16687655448913574,0.13506461679935455,0.1642216145992279,0.11390376836061478,0.14736120402812958,0.11781147867441177,0.2046441286802292,0.14591263234615326,0.20280912518501282,0.1734744757413864
mean_absolute_error,0.1444549858570099,0.09389036893844604,0.09877359867095947,0.1371454894542694,0.08411072939634323,0.15068203210830688,0.13672587275505066,0.14934873580932617,0.16687655448913574,0.13506461679935455,0.1642216145992279,0.11390376836061478,0.14736120402812958,0.11781147867441177,0.2046441286802292,0.14591263234615326,0.20280912518501282,0.1734744757413864
mean_absolute_percentage_error,528.4752197265625,388.90496826171875,296.12042236328125,300.74261474609375,747.6347045898438,520.9173583984375,314.21881103515625,188.15235900878906,371.0420837402344,406.8541564941406,262.0569763183594,221.9008331298828,390.8502502441406,206.40882873535156,356.21807861328125,461.65350341796875,288.5652770996094,212.85755920410156
mean_directional_accuracy,0.709685742855072,0.7912524938583374,0.7882797718048096,0.6919142603874207,0.7485822439193726,0.7744916677474976,0.6682859063148499,0.7449167966842651,0.7175843715667725,0.6844198703765869,0.7175843715667725,0.7239057421684265,0.7169172167778015,0.7373737096786499,0.6186579465866089,0.6806484460830688,0.5646480917930603,0.7450980544090271
mean_squared_error,0.9430961012840271,0.1973036229610443,0.17324380576610565,0.9166463613510132,0.09345361590385437,0.73997962474823,0.920005202293396,0.7569560408592224,0.9325827360153198,0.4804037809371948,0.9585988521575928,0.18144157528877258,0.5995248556137085,0.19443103671073914,1.3871511220932007,0.5320148468017578,1.4281072616577148,0.8303231596946716
mean_squared_logarithmic_error,0.030484525486826897,0.008807324804365635,0.020401177927851677,0.02597181126475334,0.011190391145646572,0.019461797550320625,0.026081101968884468,0.016602082177996635,0.030289119109511375,0.023088261485099792,0.025545194745063782,0.01884736493229866,0.023627622053027153,0.019544145092368126,0.02831658534705639,0.022994140163064003,0.029247047379612923,0.03460900858044624
time_step,200000_201500,200000_201500,200000_201500,200100_201600,200100_201600,200100_201600,200200_201700,200200_201700,200200_201700,200300_201800,200300_201800,200300_201800,200400_201900,200400_201900,200400_201900,200500_202000,200500_202000,200500_202000
