,200000_201500_train_weight,200000_201500_train_std,200000_201500_val_weight,200000_201500_val_std,200100_201600_train_weight,200100_201600_train_std,200100_201600_val_weight,200100_201600_val_std,200200_201700_train_weight,200200_201700_train_std,200200_201700_val_weight,200200_201700_val_std,200300_201800_train_weight,200300_201800_train_std,200300_201800_val_weight,200300_201800_val_std,200400_201900_train_weight,200400_201900_train_std,200400_201900_val_weight,200400_201900_val_std,200500_202000_train_weight,200500_202000_train_std,200500_202000_val_weight,200500_202000_val_std
11_FIFO/LIFO dummy_sft_1,1.633167266845703e-06,6.635686349960598e-07,3.695487976074219e-07,2.6776088897821015e-06,6.496906280517578e-07,8.335073970727012e-06,-2.7668476104736327e-05,1.6916829370786196e-05,-3.3789873123168944e-05,2.5210047861807807e-05,0.0,0.0,-2.5033950805664064e-07,5.006790161132813e-07,4.887580871582031e-07,9.775161743164062e-07,4.6205520629882815e-05,1.9829477256040775e-05,6.330013275146484e-05,2.9329773542828855e-05,0.0,0.0,0.0,0.0
11_FIFO/LIFO dummy_sft_2,3.516674041748047e-07,2.160616989182455e-07,-6.079673767089843e-07,4.522103485677399e-07,,,,,-2.5510787963867186e-06,6.476877777089921e-06,0.0,0.0,-2.384185791015625e-08,1.9073486328125e-07,0.0,0.0,5.415081977844238e-05,1.220804402128699e-05,8.72969627380371e-05,2.3729966283408003e-05,0.0,0.0,0.0,0.0
11_FIFO/LIFO dummy_sft_3,1.2993812561035157e-06,6.53643134296191e-07,7.927417755126954e-07,1.4444260573017858e-06,,,,,-3.6478042602539064e-06,9.387619911014423e-06,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0
11_Working Capital,7.492303848266602e-06,2.3710065408570176e-06,-1.1152029037475586e-05,7.80459950304624e-06,-2.7054548263549803e-05,2.821919195108034e-05,5.1695108413696286e-05,4.250134931245938e-05,3.039836883544922e-06,6.301510617250524e-06,1.4334917068481445e-05,2.9728320752077683e-05,1.895427703857422e-06,1.3867017724758121e-06,-3.3921003341674806e-05,2.8617619513718463e-05,0.0001803755760192871,3.813543461860503e-05,-1.582503318786621e-05,0.00011639626256374607,0.0,0.0,0.0,0.0
11_Working Capital_sft_1,4.613399505615235e-06,1.506052628925494e-06,4.76837158203125e-06,3.793310024487557e-06,-8.970499038696289e-06,1.110642633017158e-05,-5.801916122436523e-05,3.044621591516697e-05,-4.816055297851562e-06,1.220246400458677e-05,-2.0837783813476564e-05,2.5879828840355782e-05,7.152557373046875e-08,1.3033670137974368e-06,3.4236907958984374e-05,7.414925471364454e-05,0.0001328885555267334,3.749669886265794e-05,9.813904762268066e-05,2.825395338430138e-05,0.0,0.0,0.0,0.0
11_Working Capital_sft_2,1.0389089584350587e-05,4.675398366529258e-06,1.8596649169921875e-06,1.569937690395199e-05,,,,,1.4346837997436523e-05,7.7243250337704e-06,-7.305741310119629e-05,2.8124277155608685e-05,1.066923141479492e-06,8.673243881900348e-07,-7.873773574829102e-05,6.494671268735001e-05,0.00010228753089904785,1.563187236594125e-05,6.23166561126709e-05,3.190314321434384e-05,0.0,0.0,0.0,0.0
11_Working Capital_sft_3,5.477666854858399e-06,2.151174487387019e-06,4.1723251342773435e-08,1.06835668572351e-05,,,,,1.6844272613525392e-05,1.4798434935026897e-05,-1.4376640319824218e-05,1.7607716499546247e-05,,,,,,,,,0.0,0.0,0.0,0.0
11_inventory,3.24249267578125e-05,1.2877541776265944e-05,-3.1441450119018555e-05,2.5718440720732336e-05,5.328059196472168e-05,9.18842697183415e-05,0.0001425325870513916,0.00010509685207452447,6.284117698669433e-05,3.237328269000374e-05,5.651116371154785e-05,1.2067981549217259e-05,0.0003622591495513916,3.3990642898127062e-06,-8.237361907958984e-06,2.956686947160571e-05,0.0005650103092193603,6.370028895016329e-05,-2.2411346435546876e-06,0.0001334668842861014,0.0,0.0,0.0,0.0
11_inventory_sft_1,2.3633241653442383e-05,8.687098373506345e-06,-2.4563074111938478e-05,1.8073523997207957e-05,-3.0088424682617188e-05,5.568089560980923e-05,-0.00013359785079956055,9.503523218282365e-05,-1.2755393981933594e-05,2.6802797796756865e-05,-3.337860107421875e-07,3.565852543919076e-06,6.747245788574219e-06,1.5033610125002332e-06,6.35385513305664e-06,5.511643274984965e-05,0.0002887487411499023,7.712522598529462e-05,0.00011146068572998047,0.00024046162451593558,0.0,0.0,0.0,0.0
11_inventory_sft_2,1.2493133544921875e-05,3.9631665726441735e-06,5.227327346801758e-06,5.013365274115204e-05,,,,,5.911588668823242e-05,3.100671547045812e-05,-2.7501583099365233e-05,3.697485825957602e-05,-1.6093254089355469e-06,1.605900015393637e-06,0.00018301606178283691,5.91106537721916e-05,0.000601416826248169,7.020719604673855e-05,0.00022692680358886718,0.00020621331579586872,0.0,0.0,0.0,0.0
