index_ric,tr_indexname,tr_indexjlconstituentchangedate,tr_indexjlconstituentric,tr_indexjlconstituentname,tr_indexjlconstituentcomname,constituent_ric
.SPX,S&P 500,1996-12-18T00:00:00Z,BLY.N^L96,Bally Enter,Bally Entertainment Corp,BLY.N
.SPX,S&P 500,1996-12-31T00:00:00Z,SHN.N^G00,Sholand,Sholand LLC,SHN.N
.SPX,S&P 500,1996-12-31T00:00:00Z,RYAN.OQ^K06,Ryans Restaurant,Ryans Restaurant Group Inc,RYAN.OQ
.SPX,S&P 500,1996-12-31T00:00:00Z,LUB.N,Luby's,Luby's Inc,LUB.N
.SPX,S&P 500,1997-01-07T00:00:00Z,BOAT.O^D99,Amer Marine Rec,American Marine Recreation  Inc,BOAT.O
.SPX,S&P 500,1997-01-14T00:00:00Z,AAL.N^B97,Aon Grp,Aon Group Inc,AAL.N
.SPX,S&P 500,1997-04-03T00:00:00Z,PAC.N^D97,Pac Telesis,Pacific Telesis Group,PAC.N
.SPX,S&P 500,1997-04-30T00:00:00Z,MII.N^F99,Morton Intl,Morton International LLC,MII.N
.SPX,S&P 500,1997-05-05T00:00:00Z,GLD.N^E97,Santa Fe Pacific,Santa Fe Pacific Gold Corp,GLD.N
.SPX,S&P 500,1997-05-23T00:00:00Z,CRR.N^F97,Conrail,Conrail Inc,CRR.N
.SPX,S&P 500,1997-05-30T00:00:00Z,MS.N^F97,Morgan Stan Grp,Morgan Stanley Group Inc,MS.N
.SPX,S&P 500,1997-06-10T00:00:00Z,PVN.N^F97,Commonwelth Gen,Commonwealth General LLC Preferred Mips,PVN.N
.SPX,S&P 500,1997-06-17T00:00:00Z,USH.N^F97,USLIFE,Uslife Corp,USH.N
.SPX,S&P 500,1997-06-18T00:00:00Z,PEL.N^F97,PanEnergy,Panenergy Corp,PEL.N
.SPX,S&P 500,1997-07-01T00:00:00Z,GWF.N^G97,Great West Fn,Great Western Financial Corp,GWF.N
.SPX,S&P 500,1997-07-16T00:00:00Z,GIDL.O^J97,Gidding & Lewis,Giddings & Lewis Inc,GIDL.O
.SPX,S&P 500,1997-07-25T00:00:00Z,SFS.N^H00,Devon SFS Oper,Devon SFS Operating Inc,SFS.N
.SPX,S&P 500,1997-07-25T00:00:00Z,INGR.OQ^L06,Intergraph,Intergraph Corp,INGR.OQ
.SPX,S&P 500,1997-08-01T00:00:00Z,MD.N^H97,Mcdonnell Dougl,Mcdonnell Douglas Corp,MD.N
.SPX,S&P 500,1997-08-05T00:00:00Z,ENS.N^H97,TXU Gas,TXU Gas Co,ENS.N
.SPX,S&P 500,1997-08-06T00:00:00Z,NAE.N^H97,Arkla,Noram Energy Corp,NAE.N
.SPX,S&P 500,1997-08-14T00:00:00Z,FJ.N^K00,Fort James,Fort James Corp,FJ.N
.SPX,S&P 500,1997-08-15T00:00:00Z,NYN.N^H97,Nynex,Nynex Corp,NYN.N
.SPX,S&P 500,1997-09-01T00:00:00Z,TDM.N^I97,Tandem,Tandem Computers Inc,TDM.N
.SPX,S&P 500,1997-09-15T00:00:00Z,AMH.A^J97,Amdahl,Amdahl Corp,AMH.A
.SPX,S&P 500,1997-10-07T00:00:00Z,SRR.N^H07,Stride Rite,Stride Rite Corp,SRR.N
.SPX,S&P 500,1997-10-23T00:00:00Z,LLX.N^J97,Louisiana Land,Louisiana Land And Exploration Co,LLX.N
.SPX,S&P 500,1997-11-07T00:00:00Z,OEC.N^K97,Ohio Edison,Ohio Edison Co,OEC.N
.SPX,S&P 500,1997-11-28T00:00:00Z,SB.N^K97,Citi Glb Market,Citigroup Global Markets Holdings Inc,SB.N
.SPX,S&P 500,1997-12-04T00:00:00Z,BEV.N^L97,Beverly Enter,Beverly Enterprises LLC,BEV.N
.SPX,S&P 500,1997-12-18T00:00:00Z,HFS.N^L97,HFS Inc,HFS Inc,HFS.N
.SPX,S&P 500,1997-12-24T00:00:00Z,FLM.N^D03,Fleming,Fleming Companies Inc,FLM.N
.SPX,S&P 500,1998-01-02T00:00:00Z,UEP.N^L97,Union Electric,Union Electric Co,UEP.N
.SPX,S&P 500,1998-01-12T00:00:00Z,BBI.N^A98,Barnett Banks,Barnett Banks Inc,BBI.N
.SPX,S&P 500,1998-01-20T00:00:00Z,ECO.A^B03,Echo Bay Mines,Echo Bay Mines Ltd,ECO.A
.SPX,S&P 500,1998-01-27T00:00:00Z,CBB.N^A98,Caliber Sys,Caliber System Inc,CBB.N
.SPX,S&P 500,1998-01-29T00:00:00Z,PAS.N^C10,PepsiAmerics,Pepsiamericas Inc (Pre-Merger),PAS.N
.SPX,S&P 500,1998-02-23T00:00:00Z,ITT.N^B98,ITT Co,ITT Corp,ITT.N
.SPX,S&P 500,1998-04-01T00:00:00Z,SK.N^E98,Sfty Kln,Safety-Kleen Inc,SK.N
.SPX,S&P 500,1998-04-01T00:00:00Z,JH.N^E07,Harland Clarke,Harland Clarke Corp,JH.N
.SPX,S&P 500,1998-04-08T00:00:00Z,CHRS.OQ^F12,Charming Shoppes,Charming Shoppes Inc,CHRS.OQ
.SPX,S&P 500,1998-04-27T00:00:00Z,FG.N^D98,USF & G CORP,Usf&G Corp,FG.N
.SPX,S&P 500,1998-04-29T00:00:00Z,CFL.N^D98,Corestates Finl,Corestates Financial Corp,CFL.N
.SPX,S&P 500,1998-06-12T00:00:00Z,DEC.N^F98,Compaq Latin,Compaq Latin America Corp,DEC.N
.SPX,S&P 500,1998-06-30T00:00:00Z,PET.N^F98,Pacific Enter,Pacific Enterprises,PET.N
.SPX,S&P 500,1998-07-01T00:00:00Z,RYI.N^J07,Ryerson,Ryerson Inc,RYI.N
.SPX,S&P 500,1998-07-01T00:00:00Z,BNL.N^F98,Bnfcal Co,Beneficial Company LLC,BNL.N
.SPX,S&P 500,1998-07-01T00:00:00Z,RX.N^C10,Iqvia,Iqvia Inc,RX.N
.SPX,S&P 500,1998-07-01T00:00:00Z,GNT.N^G98,Conseco Finl,Conseco Finance Corp,GNT.N
.SPX,S&P 500,1998-07-10T00:00:00Z,ECH.N^G98,Echlin Inc,Echlin Inc,ECH.N
