index_ric,tr_indexname,tr_indexjlconstituentchangedate,tr_indexjlconstituentric,tr_indexjlconstituentname,tr_indexjlconstituentcomname,constituent_ric
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,AERG.PK,Applied Enrgtcs,Applied Energetics Inc,AERG.PK
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,AGAM.OQ^J03,Acres Gaming,Acres Gaming Inc,AGAM.OQ
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,ASXC.K,Asensus Surgical,Asensus Surgical Inc,ASXC.K
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,TCGI.OQ^J03,Classica Group,Classica Group Inc,TCGI.OQ
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,WITM.PK^A14,Wits Basin Prec,Wits Basin Precious Minerals Inc,WITM.PK
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,HMGN.PK,Hemagen Diag,Hemagen Diagnostics Inc,HMGN.PK
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,ATRS.O,Antares Pharma,Antares Pharma Inc,ATRS.O
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,ONCO.OB^L03,On Command,On Command Corp,ONCO.OB
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,PDMI.PK,Paradigm Medical,Paradigm Medical Industries Inc,PDMI.PK
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,STHKQ.PK^J13,Startech,Startech Environmental Corp,STHKQ.PK
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,LGTO.OQ^J03,Legato Systems,Legato Systems Inc,LGTO.OQ
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,WCAP.PK^I13,Winfield Cap,Winfield Capital Corp,WCAP.PK
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,UNWR.O^H05,US Unwired,US Unwired Inc,UNWR.O
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,HBRM.PK,Herborium Group,Herborium Group Inc,HBRM.PK
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,ADEP.O^J15,Omron Robotics,Omron Robotics & Safety Technologies Inc,ADEP.O
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,GLBK.OQ^J03,GLB Bancorp,GLB Bancorp Inc,GLBK.OQ
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,ADGF.O^F12,Adams Golf,Adams Golf LLC,ADGF.O
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,PCSA.O^B05,Airgate PCS,Airgate PCS LLC,PCSA.O
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,ANIX.O,Anixa Bioscience,Anixa Biosciences Inc,ANIX.O
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,USIO.O,Usio,Usio Inc,USIO.O
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,ENGEF.OQ^I03,Engel Gen Dvlprs,Engel General Developers Ltd,ENGEF.OQ
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,PCAF.OQ^J03,Printcafe Sftwr,Printcafe Software Inc,PCAF.OQ
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,KNVS.OB^C07,Knova Software,Knova Software Inc,KNVS.OB
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,AVDS.PK^K04,Avalon Dig Mkt,Avalon Digital Marketing Systems Inc,AVDS.PK
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,SUREE.OQ^J03,SureBeam,Surebeam Corp,SUREE.OQ
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,BRZZ.PK^I04,Briazz,Briazz Inc,BRZZ.PK
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,ADBL.O^C08,Audible,Audible Inc,ADBL.O
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,ORFR.PK^D18,Orbit/FR,Orbit/FR Inc,ORFR.PK
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,BTCA.PK,Bactolac Pharm,Bactolac Pharmaceutical Inc,BTCA.PK
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,STUA.OB^C04,Student Adv,Student Advantage  Inc,STUA.OB
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,HDII.PK,Hypertension Dgn,Hypertension Diagnostics Inc,HDII.PK
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,PROAQ.PK^B10,Polymer Research,Polymer Research Corp Of America,PROAQ.PK
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,OWOS.OB^E04,Owosso,Owosso Corp,OWOS.OB
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,ISGN.PK,iSign Solutions,iSign Solutions Inc,ISGN.PK
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,HEWA.PK,HealthWarehouse,HealthWarehouse.com Inc,HEWA.PK
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,ITRSB.OB^K04,Iteris,Iteris Inc,ITRSB.OB
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,BKTI.K,BK Technologies,BK Technologies Corp,BKTI.K
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,CAMH.PK^G15,Cambridge Heart,Cambridge Heart Inc,CAMH.PK
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,CARD.PK^B08,PubliCARD,Publicard Inc,CARD.PK
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,DIRIC.OQ^J03,Paybox,Paybox Corp,DIRIC.OQ
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,ETOP.PK^L10,Entropin,Entropin Inc,ETOP.PK
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,CGCP.PK^E11,Cardiogenesis,Cardiogenesis Corp (Georgia),CGCP.PK
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,EATS.PK^I04,Eateries,Eateries Inc,EATS.PK
.IXIC,NASDAQ COMPOSITE,2003-10-30T00:00:00Z,MGXX.PK^I11,Midgar,MidgardXXI Inc,MGXX.PK
.IXIC,NASDAQ COMPOSITE,2003-11-03T00:00:00Z,JNIC.OQ^J03,JNI,JNI Corp,JNIC.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-03T00:00:00Z,DWYR.OQ^J03,Dwyer Group,Dwyer Group Inc,DWYR.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-03T00:00:00Z,LPAC.OQ^J03,Laser-Pacific,Laser-Pacific Media Corp,LPAC.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-03T00:00:00Z,HAND.OQ^J03,Handspring,Handspring Inc,HAND.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-07T00:00:00Z,FTCG.OQ^K03,First Colonial,First Colonial Group  Inc,FTCG.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-07T00:00:00Z,IMPHE.OQ^K03,Impath,Impath Inc,IMPHE.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-07T00:00:00Z,OTFC.OQ^K03,Oregon Trail Fin,Oregon Trail Financial Corp,OTFC.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-07T00:00:00Z,PNWB.OQ^K03,Pacific Nort Ban,Pacific Northwest Bancorp,PNWB.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-07T00:00:00Z,RSLN.OQ^K03,Roslyn Bancorp,Roslyn Bancorp Inc,RSLN.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-07T00:00:00Z,TRSI.OQ^K03,T/R Syst,T/R Systems Inc,TRSI.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-10T00:00:00Z,SOSS.OQ^K03,SOS Staffing,Sos Staffing Services Inc,SOSS.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-10T00:00:00Z,BERK.OQ^K13,Berkshire Banc,Berkshire Bancorp Inc,BERK.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-10T00:00:00Z,WLHN.OQ^K03,Wolohan Lumber,Wolohan Lumber Co,WLHN.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-13T00:00:00Z,BGEN.OQ^K03,Biogen MA,Biogen MA Inc,BGEN.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-13T00:00:00Z,MFUN.OQ^K03,Morgan Funshrs,Morgan Funshares Inc,MFUN.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-14T00:00:00Z,TELM.OQ^K03,DZS US,DZS Inc,TELM.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-17T00:00:00Z,FBCE.PK,Fibercore Inc,Fibercore Inc,FBCE.PK
.IXIC,NASDAQ COMPOSITE,2003-11-17T00:00:00Z,USDC.PK,USData,USData Corp,USDC.PK
.IXIC,NASDAQ COMPOSITE,2003-11-17T00:00:00Z,ERTH.OQ^C04,Earthshell,Earthshell Corp,ERTH.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-17T00:00:00Z,EVTNF.PK,Eviation Aircrft,Eviation Aircraft Ltd,EVTNF.PK
.IXIC,NASDAQ COMPOSITE,2003-11-17T00:00:00Z,VDATC.OQ^F03,Onstream Media,Onstream Media Corp,VDATC.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-17T00:00:00Z,PCDIQ.PK^F10,PCD,PCD Inc,PCDIQ.PK
.IXIC,NASDAQ COMPOSITE,2003-11-17T00:00:00Z,LRST.PK^D10,LaserSight,Lasersight Inc,LRST.PK
.IXIC,NASDAQ COMPOSITE,2003-11-17T00:00:00Z,EGLE.PK^D04,Eagle Food,Eagle Food Centers Inc,EGLE.PK
.IXIC,NASDAQ COMPOSITE,2003-11-17T00:00:00Z,HIBNE.OQ^K03,Hibernia Foods,Hibernia Foods PLC,HIBNE.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-17T00:00:00Z,ADSC.OQ^K03,Atlantic Data,Atlantic Data Services Inc,ADSC.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-17T00:00:00Z,EDSN.OQ^K03,Edisonlearning,Edisonlearning Inc,EDSN.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-17T00:00:00Z,CMTOQ.PK^A07,Com21,Com21 Inc,CMTOQ.PK
.IXIC,NASDAQ COMPOSITE,2003-11-17T00:00:00Z,DIGX.OB^K03,Digex,Digex Inc,DIGX.OB
.IXIC,NASDAQ COMPOSITE,2003-11-17T00:00:00Z,MIPSB.OQ^K03,MIPS Tech,MIPS Tech LLC,MIPSB.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-17T00:00:00Z,MHCO.OQ^J03,Moore-Handley,Moore-Handley Inc,MHCO.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-17T00:00:00Z,JAGI.OQ^K03,Janus Hotels,Janus Hotels and Resorts Inc,JAGI.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-17T00:00:00Z,CRZY.OQ^K03,Crazy Woman,Crazy Woman Creek Bancorp Inc,CRZY.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-17T00:00:00Z,MILB.OQ^J03,Protagenic,Protagenic Therapeutics Inc,MILB.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-17T00:00:00Z,DTRX.OQ^J03,Detrex,Detrex Corp,DTRX.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-18T00:00:00Z,SISI.OQ^D05,SI Technologies,SI Technologies Inc,SISI.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-24T00:00:00Z,SWIM.OQ^K03,Anthony & Sylvan,Anthony & Sylvan Pools Corp,SWIM.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-24T00:00:00Z,CRFH.OQ^K03,E-machitown,E-machitown Co Ltd,CRFH.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-25T00:00:00Z,TWED.OQ^K03,Tumbleweed Inc,Tumbleweed Inc,TWED.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-25T00:00:00Z,MDEA.OQ^K03,Media 100,Media 100 Inc,MDEA.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-26T00:00:00Z,VIXL.OQ^K03,Vixel,Vixel Corp,VIXL.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-26T00:00:00Z,LSPN.OQ^K03,Lightspan,Lightspan Inc,LSPN.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-26T00:00:00Z,SFEF.OQ^K03,Santa Fe Fin,Santa Fe Financial Corp,SFEF.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-26T00:00:00Z,EVSN.OQ^K03,Uster Tech.,Uster Technologies Ltd,EVSN.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-26T00:00:00Z,SEEC.OQ^K03,SEEC,Seec Inc,SEEC.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-26T00:00:00Z,IMAN.OQ^K03,iManage,Imanage  Inc,IMAN.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-26T00:00:00Z,ASFT.OQ^K03,Vertical Comm,Vertical Communications Inc,ASFT.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-26T00:00:00Z,BGRH.OQ^K03,Berger Holdings,Berger Holdings Inc,BGRH.OQ
.IXIC,NASDAQ COMPOSITE,2003-11-26T00:00:00Z,DKEY.OQ^K03,Datakey,Datakey Inc,DKEY.OQ
.IXIC,NASDAQ COMPOSITE,2003-12-01T00:00:00Z,CFGIE.OQ^L03,Crown Fin Hldgs,Crown Financial Holdings Inc,CFGIE.OQ
.IXIC,NASDAQ COMPOSITE,2003-12-01T00:00:00Z,CYSV.OQ^L03,Cysive,Cysive Inc,CYSV.OQ
.IXIC,NASDAQ COMPOSITE,2003-12-01T00:00:00Z,NXRA.OQ^L03,Nextera Us,Nextera Enterprises Inc,NXRA.OQ
.IXIC,NASDAQ COMPOSITE,2003-12-02T00:00:00Z,STFR.OQ^L03,St Francis Cap,St Francis Capital Corp,STFR.OQ
.IXIC,NASDAQ COMPOSITE,2003-12-02T00:00:00Z,SPZNC.OQ^L03,Speizman Inds,Speizman Industries Inc,SPZNC.OQ
.IXIC,NASDAQ COMPOSITE,2003-12-10T00:00:00Z,MEXP.OQ^L03,Miller Expl,Miller Exploration Co,MEXP.OQ
.IXIC,NASDAQ COMPOSITE,2003-12-10T00:00:00Z,IIIM.OQ^L03,i3 Mobile,i3 Mobile Inc,IIIM.OQ
.IXIC,NASDAQ COMPOSITE,2003-12-10T00:00:00Z,TSTN.OQ^L03,Turnstone Sys,Turnstone Systems Inc,TSTN.OQ
.IXIC,NASDAQ COMPOSITE,2003-12-10T00:00:00Z,NXPS.OQ^L03,NexPrise,NexPrise Inc,NXPS.OQ
.IXIC,NASDAQ COMPOSITE,2003-12-10T00:00:00Z,PHFC.OQ^L03,Pittsb Finl,Pittsburgh Financial Corp,PHFC.OQ
.IXIC,NASDAQ COMPOSITE,2003-12-10T00:00:00Z,FIRE.OQ^L03,Firepond,Firepond Inc,FIRE.OQ
.IXIC,NASDAQ COMPOSITE,2003-12-10T00:00:00Z,PTCH.OQ^L03,Pacer Tech,Pacer Technology,PTCH.OQ
.IXIC,NASDAQ COMPOSITE,2003-12-17T00:00:00Z,ROAD.OQ^L03,Rodway,Roadway Express  Inc,ROAD.OQ
.IXIC,NASDAQ COMPOSITE,2003-12-17T00:00:00Z,IRIC.OQ^L03,Information Inc,Information Resources Inc Litigation Contingent Payment Rights Trust,IRIC.OQ
.IXIC,NASDAQ COMPOSITE,2003-12-17T00:00:00Z,PCHMC.OQ^L03,"PharmChem, Inc.",PharmChem Inc,PCHMC.OQ
.IXIC,NASDAQ COMPOSITE,2003-12-17T00:00:00Z,HGPI.OQ^L03,Horizon Grp Prop,Horizon Group Properties Inc,HGPI.OQ
.IXIC,NASDAQ COMPOSITE,2003-12-17T00:00:00Z,XTRM.OQ^L03,Brass Eagle,Brass Eagle Inc,XTRM.OQ
.IXIC,NASDAQ COMPOSITE,2003-12-22T00:00:00Z,DCTM.OQ^L03,Documentum,Documentum Inc,DCTM.OQ
.IXIC,NASDAQ COMPOSITE,2003-12-22T00:00:00Z,SILW.OQ^L03,Silent Witness,Silent Witness Enterprises Ltd,SILW.OQ
.IXIC,NASDAQ COMPOSITE,2003-12-29T00:00:00Z,RWAV.OQ^L03,Rouge Wave,Rogue Wave Software Inc,RWAV.OQ
.IXIC,NASDAQ COMPOSITE,2003-12-29T00:00:00Z,EXEE.OQ^L03,Infor Global Sol,Infor Global Solutions Dallas Inc,EXEE.OQ
.IXIC,NASDAQ COMPOSITE,2003-12-29T00:00:00Z,GGUY.OQ^L03,Good Guys Inc,Good Guys Inc,GGUY.OQ
.IXIC,NASDAQ COMPOSITE,2003-12-29T00:00:00Z,AERS.OQ^L03,Calspan Aero Sys,Calspan Aero Systems Engineering Inc,AERS.OQ
.IXIC,NASDAQ COMPOSITE,2003-12-30T00:00:00Z,MILT.OQ^L03,Miltope Group,Miltope Group Inc,MILT.OQ
.IXIC,NASDAQ COMPOSITE,2003-12-31T00:00:00Z,JXVL.OQ^L03,Jackson Banc,Jacksonville Bancorp Inc (Texas),JXVL.OQ
.IXIC,NASDAQ COMPOSITE,2003-12-31T00:00:00Z,COSO.OQ^L03,CommerceSouth,Commercesouth Inc,COSO.OQ
.IXIC,NASDAQ COMPOSITE,2004-01-02T00:00:00Z,BOGN.OQ^A04,Bogen Comm,Bogen Communications International Inc,BOGN.OQ
.IXIC,NASDAQ COMPOSITE,2004-01-02T00:00:00Z,JUNI.OQ^A04,Juniper Group,Juniper Group Inc,JUNI.OQ
.IXIC,NASDAQ COMPOSITE,2004-01-02T00:00:00Z,KFBI.OQ^A04,Klamath First,Klamath First Bancorp Inc,KFBI.OQ
.IXIC,NASDAQ COMPOSITE,2004-01-02T00:00:00Z,MTGNY.OQ^A04,Modern Times,Modern Times Group MTG AB,MTGNY.OQ
.IXIC,NASDAQ COMPOSITE,2004-01-02T00:00:00Z,BCICF.OQ^A04,Bell Canada Intl,Bell Canada International Inc,BCICF.OQ
.IXIC,NASDAQ COMPOSITE,2004-01-02T00:00:00Z,ZSEV.OQ^A04,Z-Seven Fund,Z Seven Fund Inc,ZSEV.OQ
.IXIC,NASDAQ COMPOSITE,2004-01-02T00:00:00Z,COVB.OQ^A04,CoVest Bncshr,Covest Bancshares Inc,COVB.OQ
.IXIC,NASDAQ COMPOSITE,2004-01-02T00:00:00Z,GENBB.OQ^A04,Genesee,Genesee Corp,GENBB.OQ
.IXIC,NASDAQ COMPOSITE,2004-01-02T00:00:00Z,UNBJ.OQ^A04,United Nat Ban,United National Bancorp,UNBJ.OQ
.IXIC,NASDAQ COMPOSITE,2004-01-05T00:00:00Z,RBAKQ.OQ^A04,Redback Networks,Redback Networks Inc,RBAKQ.OQ
.IXIC,NASDAQ COMPOSITE,2004-01-05T00:00:00Z,HCOW.OQ^A04,Horizon Organic,Horizon Organic Holding Corp,HCOW.OQ
.IXIC,NASDAQ COMPOSITE,2004-01-06T00:00:00Z,THTL.OQ^L03,Thistle Gp Hldgs,Thistle Group Holdings Co,THTL.OQ
.IXIC,NASDAQ COMPOSITE,2004-01-07T00:00:00Z,CIBN.OQ^A04,Cal Independent,California Independent Bancorp,CIBN.OQ
.IXIC,NASDAQ COMPOSITE,2004-01-09T00:00:00Z,METHB.OQ^A04,Methode Electron,Methode Electronics Inc,METHB.OQ
.IXIC,NASDAQ COMPOSITE,2004-01-13T00:00:00Z,LATD.OQ^A04,Latitude Comm,Latitude Communications Inc,LATD.OQ
.IXIC,NASDAQ COMPOSITE,2004-01-15T00:00:00Z,BULL.OQ^A04,Bull Run,Bull Run Corp,BULL.OQ
.IXIC,NASDAQ COMPOSITE,2004-01-16T00:00:00Z,SNDV.OQ^A04,Soundview,Soundview Technology Corp,SNDV.OQ
.IXIC,NASDAQ COMPOSITE,2004-01-16T00:00:00Z,BZBC.OQ^A04,Business Bancorp,Business Bancorporation,BZBC.OQ
.IXIC,NASDAQ COMPOSITE,2004-01-16T00:00:00Z,SEHI.OQ^A04,South Enrgy Home,Southern Energy Homes Inc,SEHI.OQ
.IXIC,NASDAQ COMPOSITE,2004-01-19T00:00:00Z,TRYF.OQ^A04,Troy Financial,Troy Financial Corp,TRYF.OQ
.IXIC,NASDAQ COMPOSITE,2004-01-19T00:00:00Z,PCOR.OQ^A04,Pinnacor,Pinnacor Inc,PCOR.OQ
.IXIC,NASDAQ COMPOSITE,2004-01-22T00:00:00Z,SCRI.OQ^A04,Teva Parenteral,Teva Parenteral Medicines Inc,SCRI.OQ
.IXIC,NASDAQ COMPOSITE,2004-01-22T00:00:00Z,FTUSQ.OQ^A04,Factory 2-U,Factory 2-U Stores Inc,FTUSQ.OQ
.IXIC,NASDAQ COMPOSITE,2004-01-22T00:00:00Z,VBACE.OQ^A04,Virbac,Virbac Corp,VBACE.OQ
.IXIC,NASDAQ COMPOSITE,2004-01-23T00:00:00Z,FUSA.OQ^A04,FOTOBALL USA,Fotoball Usa Inc,FUSA.OQ
.IXIC,NASDAQ COMPOSITE,2004-01-25T00:00:00Z,MTROA.OQ^A04,Metro Intl,Metro International SA,MTROA.OQ
.IXIC,NASDAQ COMPOSITE,2004-01-25T00:00:00Z,MTROB.OQ^A04,Metro Intl,Metro International SA,MTROB.OQ
.IXIC,NASDAQ COMPOSITE,2004-01-28T00:00:00Z,SAFE.OQ^A04,Invivo,Invivo Corp,SAFE.OQ
.IXIC,NASDAQ COMPOSITE,2004-01-28T00:00:00Z,NCEB.OQ^A04,Exco Res Pa,Exco Resources (PA) Inc,NCEB.OQ
.IXIC,NASDAQ COMPOSITE,2004-01-29T00:00:00Z,STAT.OQ^A04,I-Stat,I Stat Corp,STAT.OQ
.IXIC,NASDAQ COMPOSITE,2004-01-30T00:00:00Z,CCTVY.OQ^A04,Carlton Comm,Carlton Communications Ltd,CCTVY.OQ
.IXIC,NASDAQ COMPOSITE,2004-01-30T00:00:00Z,CLWY.OQ^A04,Calloways Nur,Calloway's Nursery Inc,CLWY.OQ
.IXIC,NASDAQ COMPOSITE,2004-02-02T00:00:00Z,PFNC.OQ^B04,Progress Fin,Progress Financial Corp,PFNC.OQ
.IXIC,NASDAQ COMPOSITE,2004-02-06T00:00:00Z,LUMEE.OQ^B04,Lumenis,Lumenis Ltd,LUMEE.OQ
.IXIC,NASDAQ COMPOSITE,2004-02-09T00:00:00Z,CNTV.OQ^B04,Degama Software,Degama Software Solutions Inc,CNTV.OQ
.IXIC,NASDAQ COMPOSITE,2004-02-09T00:00:00Z,FESX.OQ^B04,Sovereign Merger,Sovereign Merger Sub Inc,FESX.OQ
.IXIC,NASDAQ COMPOSITE,2004-02-09T00:00:00Z,BREL.OQ^B04,BioRelince,BioReliance Corp,BREL.OQ
.IXIC,NASDAQ COMPOSITE,2004-02-10T00:00:00Z,CRTO.OQ^B04,Aspect Sftwr,Aspect Software Inc,CRTO.OQ
.IXIC,NASDAQ COMPOSITE,2004-02-11T00:00:00Z,ESPR.OQ^B04,Esperion Thera,Esperion Therapeutics Inc,ESPR.OQ
.IXIC,NASDAQ COMPOSITE,2004-02-12T00:00:00Z,HCBC.OQ^B04,High Country Ban,High Country Bancorp Inc,HCBC.OQ
.IXIC,NASDAQ COMPOSITE,2004-02-12T00:00:00Z,XOSY.OQ^B04,IXOS Software,Ixos Software AG,XOSY.OQ
.IXIC,NASDAQ COMPOSITE,2004-02-12T00:00:00Z,GADZQ.OQ^B04,Gadzooks,Gadzooks Inc,GADZQ.OQ
.IXIC,NASDAQ COMPOSITE,2004-02-12T00:00:00Z,TBDI.OQ^B04,TMBR Sharp,Tmbr/Sharp Drilling Inc,TBDI.OQ
.IXIC,NASDAQ COMPOSITE,2004-02-13T00:00:00Z,DENHY.OQ^B04,Denison Intl,Denison International Ltd,DENHY.OQ
.IXIC,NASDAQ COMPOSITE,2004-02-13T00:00:00Z,AMEV.OQ^B04,Appl Molecular,Applied Molecular Evolution Inc,AMEV.OQ
.IXIC,NASDAQ COMPOSITE,2004-02-13T00:00:00Z,SCTC.OQ^B04,Systems,Systems & Computer Technology Corp,SCTC.OQ
.IXIC,NASDAQ COMPOSITE,2004-02-17T00:00:00Z,IGEN.OQ^B04,IGEN Intl,IGEN International Inc,IGEN.OQ
.IXIC,NASDAQ COMPOSITE,2004-02-17T00:00:00Z,ONTC.OQ^B04,On Technology,On Technology Corp,ONTC.OQ
.IXIC,NASDAQ COMPOSITE,2004-02-18T00:00:00Z,ISHP.OQ^B04,Intershop Comm,Intershop Communications AG,ISHP.OQ
.IXIC,NASDAQ COMPOSITE,2004-02-18T00:00:00Z,BBDA.OQ^B04,HSBC Bermuda,HSBC Bank Bermuda Ltd,BBDA.OQ
.IXIC,NASDAQ COMPOSITE,2004-02-19T00:00:00Z,MHLXC.OQ^B04,CarePayment,CarePayment Technologies Inc,MHLXC.OQ
.IXIC,NASDAQ COMPOSITE,2004-02-23T00:00:00Z,MEDS.OQ^B04,Medstone Intl,Medstone International Inc,MEDS.OQ
.IXIC,NASDAQ COMPOSITE,2004-02-24T00:00:00Z,PUREC.OQ^B04,PURE Biosciences,PURE Biosciences Inc,PUREC.OQ
.IXIC,NASDAQ COMPOSITE,2004-02-25T00:00:00Z,ONSS.OQ^B04,On Site Sourcng,On Site Sourcing Inc,ONSS.OQ
.IXIC,NASDAQ COMPOSITE,2004-02-25T00:00:00Z,FTDI.OQ^B04,FTD,FTD Inc,FTDI.OQ
.IXIC,NASDAQ COMPOSITE,2004-02-26T00:00:00Z,PVTL.OQ^B04,Pivotal,Pivotal Corp,PVTL.OQ
.IXIC,NASDAQ COMPOSITE,2004-02-27T00:00:00Z,HFBA.OQ^B04,HFB Financial,HFB Financial Corp,HFBA.OQ
.IXIC,NASDAQ COMPOSITE,2004-03-01T00:00:00Z,OAOT.OQ^C04,OAO Tech,Oao Technology Solutions Inc,OAOT.OQ
.IXIC,NASDAQ COMPOSITE,2004-03-01T00:00:00Z,GSPN.OQ^C04,Globespan Virata,Globespan Virata  Inc,GSPN.OQ
.IXIC,NASDAQ COMPOSITE,2004-03-02T00:00:00Z,WTBK.OQ^C04,Westerbeke,Westerbeke Corp,WTBK.OQ
.IXIC,NASDAQ COMPOSITE,2004-03-03T00:00:00Z,OGLEQ.OQ^C04,Oglebay Norton,Oglebay Norton Company LLC,OGLEQ.OQ
.IXIC,NASDAQ COMPOSITE,2004-03-04T00:00:00Z,TNTX.OQ^C04,T-Netix,T-Netix Inc,TNTX.OQ
.IXIC,NASDAQ COMPOSITE,2004-03-08T00:00:00Z,NUFO.OQ^C04,Oclaro Photonics,Oclaro Photonics Inc,NUFO.OQ
.IXIC,NASDAQ COMPOSITE,2004-03-08T00:00:00Z,EGAN.OQ^C04,eGain,eGain Corp,EGAN.OQ
.IXIC,NASDAQ COMPOSITE,2004-03-08T00:00:00Z,PCCI.OQ^C04,Pacific Crest,Pacific Crest Capital Inc,PCCI.OQ
.IXIC,NASDAQ COMPOSITE,2004-03-11T00:00:00Z,LTUS.OQ^C04,Fresh G Restaura,Fresh G Restaurant Corp,LTUS.OQ
.IXIC,NASDAQ COMPOSITE,2004-03-12T00:00:00Z,SFFC.OQ^C04,Statefed Fin,Statefed Financial Corp,SFFC.OQ
.IXIC,NASDAQ COMPOSITE,2004-03-16T00:00:00Z,RNBO.OQ^C04,Rainbow Techs,Rainbow Technologies Inc,RNBO.OQ
.IXIC,NASDAQ COMPOSITE,2004-03-19T00:00:00Z,EVRC.OQ^C04,Evercel,Evercel Inc,EVRC.OQ
