,200000_201500_train,200000_201500_val,200000_201500_test,200100_201600_train,200100_201600_val,200100_201600_test,200200_201700_train,200200_201700_val,200200_201700_test,200300_201800_train,200300_201800_val,200300_201800_test,200400_201900_train,200400_201900_val,200400_201900_test,200500_202000_train,200500_202000_val,200500_202000_test
time_step,200000_201500,200000_201500,200000_201500,200100_201600,200100_201600,200100_201600,200200_201700,200200_201700,200200_201700,200300_201800,200300_201800,200300_201800,200400_201900,200400_201900,200400_201900,200500_202000,200500_202000,200500_202000
columns,train,val,test,train,val,test,train,val,test,train,val,test,train,val,test,train,val,test
huber_loss,0.015862815,0.131511047,0.129306599,0.013951913,0.117592961,0.135887712,0.012316896,0.159589812,0.223535553,0.039701328,0.187139437,0.15534547,0.01291413,0.148200318,0.171158209,0.020268949,0.14721106,0.120961845
mean_absolute_error,0.133860826,0.235867739,0.267682463,0.270564258,0.271088541,0.27210781,0.271389425,0.272235781,0.273599386,0.284502596,0.285132229,0.285529464,0.288684279,0.288941264,0.289374024,0.294105113,0.294318378,0.294418842
mean_absolute_percentage_error,13356825,23716552,26584502,23129818,23111138,23190858,22684704,22804496,22931748,22874946,22922058,22933774,22401296,22419784,22431738,22351964,22342928,22351926
mean_directional_accuracy,0.815621853,0.609022558,0.575757563,0.824494958,0.589743614,0.59375,0.806010127,0.5625,0.49032259,0.727144837,0.552688181,0.58486706,0.819882393,0.562372208,0.559760928,0.805738926,0.625497997,0.581896544
mean_squared_error,0.03172563,0.173342496,0.219839916,0.219713315,0.220496014,0.221707195,0.215338469,0.216301471,0.218649298,0.238348737,0.239396438,0.240066022,0.248531982,0.248921096,0.249440745,0.253311753,0.253533989,0.253619999
mean_squared_logarithmic_error,0.007569672,0.032838646,0.038240571,0.038846873,0.038952556,0.038926437,0.034921832,0.035003506,0.035284109,0.035764486,0.035847396,0.035907194,0.03654794,0.036606718,0.03671556,0.038111996,0.038173776,0.038172439
true_direction_pos,0.524639606,0.548872173,0.524475515,0.526830792,0.524475515,0.462053567,0.521570981,0.462053567,0.511827946,0.507173002,0.511827946,0.501022518,0.504543006,0.501022518,0.565737069,0.498984247,0.565737069,0.480603456
