Run ID,Name,Source Type,Source Name,User,Status,baseline,batch_size,class_weight,epochs,epsilon,initial_epoch,learning_rate,max_queue_size,min_delta,monitor,num_layers,optimizer_name,patience,restore_best_weights,sample_weight,shuffle,steps_per_epoch,use_multiprocessing,validation_batch_size,validation_freq,validation_split,validation_steps,workers,huber_loss,loss,mean_absolute_error,mean_absolute_percentage_error,mean_directional_accuracy,mean_squared_error,mean_squared_logarithmic_error,stopped_epoch,true_direction_pos,val_huber_loss,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_directional_accuracy,val_mean_squared_error,val_mean_squared_logarithmic_error,val_true_direction_pos
9d4e36f6953c405c9fd70e0dd4f07282,,LOCAL,/Users/vanalmsick/Workspace/MasterThesis/app/e_analyses/_TF_Baseline.py,vanalmsick,FINISHED,None,None,None,1,1e-07,0,0.001,10,0,val_loss,0,Adam,25,True,None,True,None,False,None,1,0.0,None,1,0.14377504587173462,0.34200119972229004,0.34815678000450134,139726.421875,0.5563737750053406,0.3453781306743622,0.06536831706762314,0,0.4989842474460602,0.1589355617761612,0.3926185369491577,0.3926185369491577,87.64939880371094,0.4721115529537201,0.35950350761413574,0.08301863074302673,0.5657370686531067
580ec191e3e044e187903142ceb15f9e,,LOCAL,/Users/vanalmsick/Workspace/MasterThesis/app/e_analyses/_TF_Baseline.py,vanalmsick,FINISHED,None,None,None,1,1e-07,0,0.001,10,0,val_loss,0,Adam,25,True,None,True,None,False,None,1,0.0,None,1,0.14384299516677856,0.34475597739219666,0.35105791687965393,1484323.25,0.5563737750053406,0.3455227017402649,0.06536831706762314,0,0.4989842474460602,0.15957467257976532,0.3964449167251587,0.3964449167251587,1235149.5,0.4721115529537201,0.3606951832771301,0.08301863074302673,0.5657370686531067
024bb08cbf104983936a1d3eabeb4ba0,,LOCAL,/Users/vanalmsick/Workspace/MasterThesis/app/e_analyses/_TF_Baseline.py,vanalmsick,FINISHED,None,None,None,1,1e-07,0,0.001,10,0,val_loss,0,Adam,25,True,None,True,None,False,None,1,0.0,None,1,0.1440022885799408,0.3476927876472473,0.3541371524333954,2828924.75,0.5563737750053406,0.3458673655986786,0.06536831706762314,0,0.4989842474460602,0.16030378639698029,0.40049412846565247,0.40049412846565247,2470213.75,0.4721115529537201,0.36208680272102356,0.08301863074302673,0.5657370686531067
8fae6564606d4008960f9ab61dcaca6c,,LOCAL,/Users/vanalmsick/Workspace/MasterThesis/app/e_analyses/_TF_Baseline.py,vanalmsick,FINISHED,None,None,None,1,1e-07,0,0.001,10,0,val_loss,0,Adam,25,True,None,True,None,False,None,1,0.0,None,1,0.14425276219844818,0.35086965560913086,0.3574386239051819,4173525.5,0.5563737750053406,0.3464120626449585,0.06536831706762314,0,0.4989842474460602,0.16112297773361206,0.40469083189964294,0.40469083189964294,3705279.25,0.4721115529537201,0.3636784553527832,0.08301863074302673,0.5657370686531067
956231464a014638a9595ad968a5ba9a,,LOCAL,/Users/vanalmsick/Workspace/MasterThesis/app/e_analyses/_TF_Baseline.py,vanalmsick,FINISHED,None,None,None,1,1e-07,0,0.001,10,0,val_loss,0,Adam,25,True,None,True,None,False,None,1,0.0,None,1,0.14459431171417236,0.3542539179325104,0.36094173789024353,5518127.5,0.5563737750053406,0.3471566438674927,0.06536831706762314,0,0.4989842474460602,0.16203220188617706,0.40896955132484436,0.40896955132484436,4940344.5,0.4721115529537201,0.3654700517654419,0.08301863074302673,0.5657370686531067
da10abea129741fa90f1b8c76006dc38,,LOCAL,/Users/vanalmsick/Workspace/MasterThesis/app/e_analyses/_TF_Baseline.py,vanalmsick,FINISHED,None,None,None,1,1e-07,0,0.001,10,0,val_loss,0,Adam,25,True,None,True,None,False,None,1,0.0,None,1,0.14502719044685364,0.35787421464920044,0.3646630346775055,6862729,0.5563737750053406,0.34810125827789307,0.06536831706762314,0,0.4989842474460602,0.163031667470932,0.4134052097797394,0.4134052097797394,6175410,0.4721115529537201,0.3674617111682892,0.08301863074302673,0.5657370686531067
2f79e40d2b9a47ccad4b23678b72b9ff,,LOCAL,/Users/vanalmsick/Workspace/MasterThesis/app/e_analyses/_TF_Baseline.py,vanalmsick,FINISHED,None,None,None,1,1e-07,0,0.001,10,0,val_loss,0,Adam,25,True,None,True,None,False,None,1,0.0,None,1,0.14555135369300842,0.36172810196876526,0.36861082911491394,8207330.5,0.3651599884033203,0.34924599528312683,0.06536831706762314,0,0.4989842474460602,0.16412143409252167,0.4179185926914215,0.4179185926914215,7410476,0.31075698137283325,0.3696533441543579,0.08301863074302673,0.5657370686531067
0f98199168eb493797a28291e399eaab,,LOCAL,/Users/vanalmsick/Workspace/MasterThesis/app/e_analyses/_TF_Baseline.py,vanalmsick,FINISHED,None,None,None,1,1e-07,0,0.001,10,0,val_loss,0,Adam,25,True,None,True,None,False,None,1,0.0,None,1,0.14616671204566956,0.3657301664352417,0.37271490693092346,9551932,0.3651599884033203,0.3505905568599701,0.06536831706762314,0,0.4989842474460602,0.16530123353004456,0.4226033687591553,0.4226033687591553,8645542,0.31075698137283325,0.37204498052597046,0.08301863074302673,0.5657370686531067
c3328d59b0994bf88165b935ada799f1,,LOCAL,/Users/vanalmsick/Workspace/MasterThesis/app/e_analyses/_TF_Baseline.py,vanalmsick,FINISHED,None,None,None,1,1e-07,0,0.001,10,0,val_loss,0,Adam,25,True,None,True,None,False,None,1,0.0,None,1,0.14687329530715942,0.36990270018577576,0.37698784470558167,10896533,0.3651599884033203,0.35213521122932434,0.06536831706762314,0,0.4989842474460602,0.16657091677188873,0.4275074601173401,0.4275074601173401,9880608,0.31075698137283325,0.3746366500854492,0.08301863074302673,0.5657370686531067
08ed504f33d242cab859ddc93fb4ec99,,LOCAL,/Users/vanalmsick/Workspace/MasterThesis/app/e_analyses/_TF_Baseline.py,vanalmsick,FINISHED,None,None,None,1,1e-07,0,0.001,10,0,val_loss,0,Adam,25,True,None,True,None,False,None,1,0.0,None,1,0.14767107367515564,0.3742326498031616,0.3814128339290619,12241137,0.3651599884033203,0.35387977957725525,0.06536831706762314,0,0.4989842474460602,0.1679302453994751,0.4325679838657379,0.4325679838657379,11115676,0.31075698137283325,0.37742823362350464,0.08301863074302673,0.5657370686531067
