Run ID,Name,Source Type,Source Name,User,Status,backlooking_period,booster,colsample_bytree,eta,eval_metric,gamma,iter_step,max_depth,min_child_weight,model_name,n_estimators,nthread,seed,silent,subsample,tree_method,test_huber_loss,test_mean_absolute_error,test_mean_absolute_percentage_error,test_mean_directional_accuracy,test_mean_squared_error,test_mean_squared_logarithmic_error,test_true_direction_pos,train_huber_loss,train_mean_absolute_error,train_mean_absolute_percentage_error,train_mean_directional_accuracy,train_mean_squared_error,train_mean_squared_logarithmic_error,train_true_direction_pos,val_huber_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_directional_accuracy,val_mean_squared_error,val_mean_squared_logarithmic_error,val_true_direction_pos
2014065dbf954162bcb56ca2d2d48df1,,LOCAL,/Users/vanalmsick/Workspace/MasterThesis/app/e_analyses/d_XGBoost.py,vanalmsick,FINISHED,2,gbtree,0.6000000000000001,0.07500000000000001,mae,1.0,200400_201900,12,3.0,XGBoost,648.0,None,42,0,0.6000000000000001,exact,0.14980663359165192,0.29173171520233154,22429586,0.6155378222465515,0.25206857919692993,0.03733199089765549,0.5657370686531067,0.02154412493109703,0.2913161516189575,22458722,0.8132014870643616,0.2516000270843506,0.03723854944109917,0.5045430064201355,0.12806518375873566,0.29142671823501587,22440644,0.6400818228721619,0.2517938017845154,0.037257298827171326,0.5010225176811218
19308610c67e4cd49978c74987f4c34d,,LOCAL,/Users/vanalmsick/Workspace/MasterThesis/app/e_analyses/d_XGBoost.py,vanalmsick,FINISHED,2,gbtree,0.9,0.07500000000000001,mae,0.7000000000000001,200400_201900,1,4.0,XGBoost,554.0,None,42,0,0.7000000000000001,exact,0.15013255178928375,0.29176223278045654,22497842,0.6155378222465515,0.25225570797920227,0.03732839599251747,0.5657370686531067,0.11494775116443634,0.2913688123226166,22537388,0.6568679809570312,0.2518339455127716,0.03722319379448891,0.5045430064201355,0.12376159429550171,0.29146385192871094,22516974,0.6175869107246399,0.2519773244857788,0.037251029163599014,0.5010225176811218
2aee9ed966bb49689db1f3c0095166e2,,LOCAL,/Users/vanalmsick/Workspace/MasterThesis/app/e_analyses/d_XGBoost.py,vanalmsick,FINISHED,1,gbtree,0.8,0.30000000000000004,mae,0.6000000000000001,200400_201900,1,2.0,XGBoost,220.0,None,42,0,1.0,exact,0.15042510628700256,0.29131025075912476,22562428,0.6035856604576111,0.25179266929626465,0.03720591217279434,0.5657370686531067,0.11602389067411423,0.29092252254486084,22602430,0.6670230031013489,0.251367449760437,0.03710399568080902,0.5045430064201355,0.12207832932472229,0.2910071611404419,22579514,0.6421267986297607,0.2515081465244293,0.037131424993276596,0.5010225176811218
82709ebb0f8e4fdaab4672449cb66c22,,LOCAL,/Users/vanalmsick/Workspace/MasterThesis/app/e_analyses/d_XGBoost.py,vanalmsick,FINISHED,3,gbtree,0.6000000000000001,0.45,mae,0.9,200400_201900,5,1.0,XGBoost,353.0,None,42,0,0.7000000000000001,exact,0.18524643778800964,0.29086175560951233,22628714,0.5637450218200684,0.2513100504875183,0.03708358854055405,0.5657370686531067,0.022716157138347626,0.2899715304374695,22566418,0.7581506967544556,0.25015711784362793,0.03689570724964142,0.5045430064201355,0.17221181094646454,0.2903553545475006,22591742,0.5153374075889587,0.2507549524307251,0.03698325529694557,0.5010225176811218
8771288f3e16424e9ea3938e801f0723,,LOCAL,/Users/vanalmsick/Workspace/MasterThesis/app/e_analyses/d_XGBoost.py,vanalmsick,FINISHED,1,gbtree,1.0,0.375,mae,0.75,200400_201900,11,3.0,XGBoost,163.0,None,42,0,0.55,exact,0.19759202003479004,0.29039353132247925,22583724,0.5438246726989746,0.2508196532726288,0.03698059543967247,0.5657370686531067,0.01955091953277588,0.2895234227180481,22496912,0.7771245241165161,0.24980473518371582,0.036790236830711365,0.5045430064201355,0.15263323485851288,0.28984394669532776,22544882,0.5725971460342407,0.25013887882232666,0.036862216889858246,0.5010225176811218
a70dcf5e055d4628a02b848844f7baf4,,LOCAL,/Users/vanalmsick/Workspace/MasterThesis/app/e_analyses/d_XGBoost.py,vanalmsick,FINISHED,3,gbtree,0.9500000000000001,0.42500000000000004,mae,0.9,200400_201900,11,3.0,XGBoost,699.0,None,42,0,0.55,exact,0.21069352328777313,0.28998494148254395,22521868,0.5776892304420471,0.2504933178424835,0.03688082471489906,0.5657370686531067,0.01810634508728981,0.2889004647731781,22409030,0.778193473815918,0.2487393170595169,0.03662443533539772,0.5045430064201355,0.193406879901886,0.2893829941749573,22480948,0.5337423086166382,0.24958546459674835,0.03674737736582756,0.5010225176811218
231fc0d615c94a879cd17bec1e58113e,,LOCAL,/Users/vanalmsick/Workspace/MasterThesis/app/e_analyses/d_XGBoost.py,vanalmsick,FINISHED,4,gbtree,0.8500000000000001,0.275,mae,0.55,200400_201900,5,5.0,XGBoost,562.0,None,42,0,0.8,exact,0.17115820944309235,0.2893740236759186,22431738,0.5597609281539917,0.2494407445192337,0.0367155596613884,0.5657370686531067,0.01291412953287363,0.28868427872657776,22401296,0.8198823928833008,0.2485319823026657,0.0365479402244091,0.5045430064201355,0.14820031821727753,0.28894126415252686,22419784,0.5623722076416016,0.24892109632492065,0.036606717854738235,0.5010225176811218
806d6a574a9540e4a3dc56138409baf4,,LOCAL,/Users/vanalmsick/Workspace/MasterThesis/app/e_analyses/d_XGBoost.py,vanalmsick,FINISHED,3,gbtree,0.9,0.1,mae,0.55,200300_201800,7,1.0,XGBoost,757.0,None,42,0,0.65,exact,0.12611795961856842,0.28924620151519775,22438450,0.6053169965744019,0.249274343252182,0.03664916753768921,0.5010225176811218,0.012737554498016834,0.2888537347316742,22485452,0.8436005711555481,0.24854613840579987,0.03656385466456413,0.5071730017662048,0.16440628468990326,0.28912490606307983,22468870,0.6086021661758423,0.24908705055713654,0.03661853447556496,0.5118279457092285
681643b9b1d748688f15821b0c7b52c1,,LOCAL,/Users/vanalmsick/Workspace/MasterThesis/app/e_analyses/d_XGBoost.py,vanalmsick,FINISHED,3,gbtree,0.5,0.4,mae,0.5,200300_201800,2,4.0,XGBoost,522.0,None,42,0,0.75,exact,0.15316395461559296,0.28942832350730896,22532592,0.5480572581291199,0.24929721653461456,0.0366675928235054,0.5010225176811218,0.025805149227380753,0.28860047459602356,22443788,0.7684950828552246,0.24818730354309082,0.03651745989918709,0.5071730017662048,0.1877005249261856,0.28909236192703247,22486372,0.5548387169837952,0.2489129900932312,0.03659722954034805,0.5118279457092285
4474e7604f674cf5b03c69525bd9fc06,,LOCAL,/Users/vanalmsick/Workspace/MasterThesis/app/e_analyses/d_XGBoost.py,vanalmsick,FINISHED,4,gbtree,0.7000000000000001,0.25,mae,0.55,200300_201800,11,5.0,XGBoost,622.0,None,42,0,0.6000000000000001,exact,0.14829200506210327,0.28901711106300354,22463118,0.593047022819519,0.2488556206226349,0.03660332411527634,0.5010225176811218,0.011072820983827114,0.2884393632411957,22465562,0.8270041942596436,0.2478584200143814,0.036492377519607544,0.5071730017662048,0.16615499556064606,0.28877294063568115,22456880,0.6043010950088501,0.24843941628932953,0.03653784468770027,0.5118279457092285
