,200000_201500,200100_201600,200200_201700,200300_201800,200400_201900,200500_202000
params,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(2, 1, 0)","(0, 1, 0)","(0, 0, 0)"
test_mae,0.26460561148586353,0.312899742361136,0.30413345105122747,0.33899674994438184,0.3749253267958399,0.24695187348773026
test_mda,0.6764705882352942,0.49673202614379086,0.611764705882353,0.6514285714285715,0.6413043478260869,0.574585635359116
test_mse,0.2891423513234854,0.2666471421591252,0.3453638554533837,0.45627942056675247,0.42266335386824094,0.13363378980133467
test_pos,0.3897058823529412,0,0.23529411764705882,0.2342857142857143,0.33695652173913043,0.03314917127071823
val_mae,0.2530929847291272,0.2514532442704327,0.2932739195528042,0.30142784448822557,0.3760312062864983,0.2664161964444474
val_mda,0.7058823529411765,0.6797385620915033,0.5058823529411764,0.5885714285714285,0.6304347826086957,0.6850828729281768
val_mse,0.2446718116482195,0.26530702524521144,0.23339126799733517,0.3247390443585399,0.5724306606308238,0.21062453530488454
val_pos,0.4485294117647059,0.40522875816993464,0.058823529411764705,0.30857142857142855,0.2717391304347826,0.35359116022099446
